module_name,loc,ncloc,cloc,complexity,cyclomatic_complexity,depth_of_nesting,coupling,cohesion,information_flow_complexity,code_churn,change_request_backlog,pending_effort_hours,percent_reused,defect_count,defect_label
core.auth.module_01,342,268,74,23.211,24.494,17.291,8.584,0.457,14.553,267.576,19.482,4.513,0.354,1,1
core.db.module_23,182,157,25,46.32,49.065,14.639,8.427,0.698,37.904,258.986,11.339,44.278,0.195,1,1
workers.notifications.module_29,182,164,18,19.862,18.924,8.458,17.439,0.436,34.531,256.223,10.573,14.168,0.09,1,1
workers.notifications.module_09,284,234,50,32.344,37.076,7.486,7.954,0.615,9.557,255.54,4.578,39.96,0.055,1,1
reports.export.module_35,80,65,15,11.568,10.734,9.115,4.51,0.824,32.824,253.459,9.333,16.711,0.17,1,1
workers.notifications.module_16,314,293,21,39.15,42.7,11.462,9.597,0.702,27.663,252.344,22.049,14.386,0.278,1,1
gateway.api.module_11,90,79,11,39.081,35.641,14.103,16.255,0.64,24.198,252.058,18.301,16.525,0.284,1,1
utils.formatters.module_13,56,47,9,14.619,17.124,7.691,18.171,0.722,21.574,250.587,6.087,37.404,0.214,1,1
core.db.module_28,361,303,58,16.495,17.616,13.701,17.159,0.765,51.32,250.215,7.126,13.16,0.136,1,1
core.db.module_26,367,310,57,14.99,16.466,10.142,14.08,0.386,14.147,248.151,19.781,10.574,0.111,1,1
core.db.module_01,274,261,13,44.629,42.875,10.501,14.958,0.401,9.746,241.778,23.947,17.367,0.163,1,1
gateway.api.module_40,199,171,28,3.388,3.253,8.33,13.192,0.58,14.211,237.443,12.276,23.8,0.143,1,1
core.auth.module_09,193,182,11,23.147,23.933,9.879,7.837,0.319,39.183,236.31,9.943,26.935,0.406,1,1
ui.components.module_24,134,111,23,13.154,14.173,8.94,10.425,0.467,13.879,235.944,18.747,34.163,0.593,1,1
services.billing.module_06,231,216,15,15.145,18.107,11.415,7.369,0.625,12.143,235.234,3.643,34.361,0.608,1,1
workers.notifications.module_09,122,96,26,35.18,36.533,3.878,10.497,0.694,33.958,235.175,10.072,14.493,0.613,1,1
gateway.api.module_04,167,144,23,31.315,30.695,6.625,9.732,0.618,16.34,234.624,25.674,13.954,0.458,1,1
services.billing.module_17,154,123,31,27.747,30.706,5.536,6.319,0.626,16.531,232.623,22.991,42.362,0.348,1,1
gateway.api.module_06,157,125,32,4.824,5.126,9.168,2.689,0.526,28.268,231.967,15.947,19.232,0.184,1,1
utils.formatters.module_30,108,88,20,21.322,21.078,9.279,14.052,0.449,3.858,231.901,15.139,27.446,0.385,1,1
utils.formatters.module_39,115,91,24,20.312,19.954,7.218,12.717,0.397,23.935,229.323,9.95,18.457,0.176,1,1
gateway.api.module_32,183,161,22,16.106,14.666,10.093,6.833,0.68,23.233,229.274,6.252,25.535,0.51,1,1
core.payment.module_40,154,126,28,13.763,14.96,6.991,9.295,0.634,7.503,228.873,12.117,57.805,0.492,1,1
core.payment.module_18,308,279,29,22.143,26.511,8.531,17.121,0.548,33.087,228.66,6.714,23.013,0.335,1,1
services.billing.module_21,167,154,13,12.28,13.836,10.797,5.913,0.391,27.308,228.637,12.716,5.683,0.059,1,1
reports.export.module_11,332,301,31,22.35,22.714,6.036,6.284,0.356,15.658,228.188,8.764,13.825,0.29,1,1
core.payment.module_01,287,263,24,33.132,35.15,6.924,19.094,0.637,27.179,228.087,3.693,36.395,0.457,1,1
ui.components.module_30,153,125,28,7.617,8.352,11.49,15.904,0.615,19.884,225.844,16.528,16.863,0.219,1,1
core.payment.module_15,221,185,36,24.393,24.014,14.814,18.739,0.289,17.555,225.132,5.678,15.015,0.42,1,1
services.billing.module_20,365,287,78,11.034,11.837,9.203,16.107,0.541,10.313,224.884,13.655,23.02,0.494,1,1
services.billing.module_01,210,181,29,41.023,39.476,5.737,5.629,0.436,12.872,224.473,13.931,40.148,0.065,1,1
core.auth.module_17,249,222,27,32.493,33.524,17.343,7.734,0.709,33.197,224.101,12.71,19.128,0.324,1,1
reports.export.module_24,182,148,34,17.243,15.708,8.796,17.192,0.36,12.898,223.889,12.442,14.13,0.234,1,1
gateway.api.module_36,499,465,34,12.107,12.849,6.547,21.8,0.668,16.276,223.503,11.306,27.866,0.49,1,1
ui.components.module_08,65,61,4,30.185,35.352,7.245,10.64,0.472,31.557,221.445,3.946,13.701,0.42,1,1
ui.components.module_18,181,149,32,9.944,9.059,4.815,10.031,0.698,35.155,220.633,4.261,16.203,0.303,1,1
workers.notifications.module_15,224,185,39,28.952,33.854,7.217,10.31,0.568,12.721,220.355,12.988,36.487,0.452,2,1
workers.notifications.module_07,130,104,26,11.738,12.657,8.603,11.813,0.621,17.065,220.037,20.427,12.33,0.159,1,1
reports.export.module_07,329,313,16,32.587,33.628,4.864,7.429,0.449,19.896,219.909,4.822,25.927,0.339,1,1
gateway.api.module_22,183,152,31,35.711,35.341,4.401,19.771,0.718,31.743,218.098,17.098,28.449,0.349,1,1
infra.cache.module_19,117,95,22,32.454,29.303,3.988,7.856,0.801,24.374,217.971,20.49,13.625,0.209,1,1
workers.notifications.module_29,224,200,24,19.87,21.122,6.898,6.437,0.686,14.118,217.286,11.152,13.235,0.068,1,1
workers.notifications.module_04,368,331,37,20.24,21.657,11.826,11.133,0.566,26.355,214.071,14.506,36.027,0.091,1,1
reports.export.module_21,220,185,35,16.771,16.809,11.243,16.715,0.549,32.575,212.206,14.818,25.84,0.205,1,1
utils.formatters.module_21,215,177,38,20.997,22.65,9.726,9.444,0.598,18.427,211.925,16.624,7.565,0.507,1,1
core.payment.module_12,256,212,44,8.985,10.164,1.968,22.431,0.534,23.694,211.468,23.617,49.199,0.145,1,1
services.billing.module_27,216,171,45,37.06,40.283,9.379,19.418,0.603,8.715,209.781,13.522,17.011,0.286,1,0
utils.formatters.module_34,185,166,19,12.396,14.629,9.838,4.703,0.719,11.405,209.228,6.803,44.138,0.568,0,0
core.db.module_05,221,178,43,18.581,17.904,8.609,7.635,0.485,32.111,208.09,29.143,34.365,0.269,0,0
gateway.api.module_08,167,144,23,9.656,9.222,7.264,4.855,0.719,38.255,207.864,18.711,9.166,0.279,1,1
core.db.module_32,282,236,46,34.565,35.227,4.122,15.213,0.709,22.492,207.034,9.388,34.226,0.18,1,0
core.auth.module_26,322,292,30,25.641,26.812,7.252,16.413,0.387,13.678,206.757,9.788,16.629,0.255,1,1
reports.export.module_30,123,116,7,16.556,16.698,8.196,6.724,0.66,17.84,206.075,13.909,43.424,0.181,0,0
utils.formatters.module_16,133,120,13,13.925,15.541,4.747,7.55,0.655,5.991,205.027,16.123,9.564,0.615,1,0
ui.components.module_32,84,71,13,21.171,20.17,1.954,2.381,0.641,8.217,204.812,6.733,20.251,0.166,0,0
gateway.api.module_09,261,223,38,11.931,11.664,6.541,10.124,0.289,25.542,204.418,13.948,25.543,0.317,0,1
workers.notifications.module_32,164,139,25,10.375,9.398,2.953,6.401,0.407,20.907,204.106,6.489,31.883,0.157,1,0
infra.cache.module_28,85,77,8,22.994,24.45,7.439,6.891,0.561,32.452,203.415,6.285,45.022,0.109,1,0
core.auth.module_10,352,332,20,41.826,40.457,3.486,4.095,0.301,46.952,201.16,6.88,43.934,0.159,2,1
ui.components.module_06,118,106,12,25.01,22.929,10.542,8.234,0.404,30.012,200.898,17.351,22.019,0.149,1,1
gateway.api.module_36,136,124,12,21.173,21.699,8.696,16.302,0.546,25.06,200.41,20.622,16.392,0.231,0,1
services.billing.module_26,236,220,16,11.083,10.436,11.15,11.785,0.547,4.002,200.114,16.778,25.67,0.095,0,0
workers.notifications.module_18,320,293,27,30.323,35.284,10.129,16.349,0.38,17.572,199.751,13.339,4.204,0.063,1,1
ui.components.module_04,193,177,16,20.121,19.863,5.479,20.241,0.697,24.207,198.067,19.224,19.796,0.189,1,0
utils.formatters.module_12,115,102,13,17.262,15.851,4.81,5.678,0.824,7.952,196.293,8.747,23.053,0.419,0,0
core.db.module_30,243,200,43,12.028,14.433,4.755,18.13,0.567,14.965,195.587,12.473,39.62,0.339,0,0
core.auth.module_31,529,425,104,9.581,11.112,5.454,18.268,0.684,29.923,195.417,14.594,24.722,0.169,0,0
workers.notifications.module_19,142,125,17,16.836,18.824,13.104,9.589,0.663,23.847,194.461,15.75,6.533,0.222,0,1
core.payment.module_39,351,306,45,8.631,7.989,7.339,9.945,0.387,32.44,193.03,3.517,58.181,0.344,0,0
workers.notifications.module_14,246,233,13,33.622,35.763,8.864,7.14,0.737,13.549,191.346,8.448,20.668,0.129,0,1
reports.export.module_10,301,251,50,20.241,23.729,8.213,14.17,0.646,13.299,190.595,3.405,6.293,0.199,1,0
utils.formatters.module_11,212,193,19,8.112,7.781,7.577,11.245,0.503,26.977,190.207,12.912,18.374,0.396,0,0
gateway.api.module_18,266,219,47,10.627,11.218,7.062,25.553,0.569,13.445,189.893,17.435,55.194,0.223,0,0
ui.components.module_09,163,149,14,12.714,14.401,8.682,15.816,0.635,35.329,189.868,5.632,15.903,0.152,0,0
ui.components.module_37,88,75,13,32.438,38.901,9.481,4.547,0.691,16.223,189.851,16.064,17.809,0.507,2,0
services.billing.module_16,211,181,30,36.038,37.381,5.808,16.075,0.595,28.873,188.721,12.787,12.036,0.022,0,0
ui.components.module_34,118,101,17,33.536,31.597,9.463,20.314,0.485,10.874,187.809,16.443,7.127,0.327,1,0
core.auth.module_26,225,191,34,7.533,8.882,5.096,20.152,0.358,20.859,187.341,17.77,7.547,0.546,1,0
gateway.api.module_24,367,296,71,25.637,30.553,5.126,15.58,0.702,14.108,187.116,7.684,34.991,0.097,0,0
infra.cache.module_29,242,224,18,6.745,7.782,5.311,19.888,0.394,13.611,185.408,4.9,17.003,0.282,1,0
workers.notifications.module_35,245,199,46,25.071,24.801,8.547,5.645,0.42,6.978,183.995,6.987,11.671,0.266,1,1
services.billing.module_24,266,214,52,34.303,38.357,13.016,10.751,0.772,19.703,183.523,9.376,7.203,0.036,0,0
services.billing.module_23,361,323,38,18.299,21.822,7.965,10.108,0.846,13.086,182.769,14.184,12.043,0.323,0,0
gateway.api.module_31,256,222,34,21.455,22.808,5.953,18.731,0.63,19.48,180.349,18.863,11.73,0.24,1,0
infra.cache.module_34,176,150,26,8.4,8.359,3.241,10.357,0.44,18.007,179.12,16.011,23.25,0.401,4,0
services.billing.module_10,251,198,53,11.823,12.078,4.676,9.924,0.316,25.596,178.08,12.452,12.714,0.215,0,0
ui.components.module_13,188,178,10,11.281,10.64,7.88,3.326,0.816,25.046,177.868,6.539,11.717,0.525,0,0
reports.export.module_05,166,151,15,11.859,11.511,10.157,7.686,0.703,42.675,177.632,1.3,28.182,0.081,1,0
reports.export.module_20,218,193,25,17.152,18.708,15.134,2.825,0.733,12.001,177.567,7.378,31.998,0.403,0,0
services.billing.module_36,205,172,33,31.041,37.071,7.493,10.968,0.633,4.75,177.376,18.773,43.696,0.273,0,0
gateway.api.module_03,242,226,16,19.333,20.844,7.943,24.242,0.802,48.52,177.187,4.817,43.643,0.206,0,0
core.db.module_02,170,143,27,14.03,16.062,14.74,27.799,0.438,6.345,175.901,20.322,43.61,0.451,1,1
gateway.api.module_02,185,146,39,14.882,14.214,6.883,15.767,0.54,17.824,173.995,8.921,22.081,0.611,0,0
gateway.api.module_08,448,357,91,31.228,36.853,10.273,6.384,0.891,10.912,173.419,10.013,45.128,0.097,0,0
infra.cache.module_40,173,145,28,15.129,14.525,2.129,18.594,0.642,26.68,172.886,13.57,23.554,0.199,1,0
core.payment.module_01,270,220,50,19.049,22.039,7.496,11.918,0.626,9.122,172.842,4.601,22.475,0.004,1,0
reports.export.module_08,236,185,51,24.206,26.639,6.085,10.708,0.511,38.324,172.537,2.98,11.921,0.17,0,0
core.db.module_07,320,296,24,32.485,36.836,4.464,11.002,0.537,19.615,172.28,11.254,2.231,0.378,2,0
core.auth.module_11,272,259,13,38.82,37.284,4.306,21.23,0.727,30.19,171.189,8.047,4.535,0.521,0,0
core.auth.module_33,288,235,53,21.212,21.419,4.989,14.606,0.578,8.696,170.567,24.525,17.732,0.216,0,0
core.db.module_05,147,125,22,29.667,33.422,7.406,5.759,0.434,8.103,170.439,4.086,31.38,0.238,1,0
gateway.api.module_18,319,297,22,36.215,36.233,6.935,7.79,0.848,21.438,170.182,12.987,23.915,0.076,1,0
ui.components.module_36,277,233,44,3.595,3.81,6.027,12.883,0.655,2.869,169.731,5.982,19.739,0.232,1,0
infra.cache.module_38,213,195,18,5.845,6.103,7.363,14.772,0.576,27.441,169.185,15.815,12.84,0.36,0,0
gateway.api.module_07,187,175,12,21.022,22.703,8.829,14.472,0.741,32.452,168.715,13.628,16.542,0.265,1,1
gateway.api.module_24,113,101,12,17.663,20.934,12.444,14.377,0.61,7.894,168.53,24.433,18.583,0.141,0,0
workers.notifications.module_30,428,372,56,15.588,16.398,13.317,11.18,0.728,26.981,167.9,7.758,43.363,0.327,2,0
ui.components.module_35,186,149,37,17.469,19.665,3.335,16.916,0.657,23.709,166.045,0.383,41.56,0.232,0,0
workers.notifications.module_33,122,112,10,22.691,27.032,2.97,23.082,0.726,14.461,164.022,5.631,38.492,0.301,1,0
core.auth.module_02,350,299,51,6.318,6.339,3.408,21.9,0.347,53.651,163.274,22.646,5.457,0.402,1,0
utils.formatters.module_11,227,183,44,19.036,20.028,6.277,13.601,0.832,19.338,163.033,7.703,30.802,0.189,1,1
utils.formatters.module_12,166,142,24,19.914,21.787,13.264,13.688,0.452,12.9,162.562,3.297,10.659,0.287,1,1
infra.cache.module_14,186,173,13,34.52,31.884,5.297,17.508,0.568,23.657,162.157,5.209,6.841,0.404,2,0
services.billing.module_17,305,274,31,22.382,23.577,6.426,7.543,0.679,23.073,160.901,0.534,48.383,0.371,2,0
core.auth.module_22,399,354,45,14.648,17.13,13.313,8.236,0.434,23.995,160.134,16.751,25.662,0.39,0,0
core.auth.module_35,221,181,40,27.995,25.599,7.213,6.73,0.548,18.353,159.643,20.412,19.151,0.443,0,0
core.auth.module_28,105,84,21,20.201,21.025,7.808,16.332,0.508,10.476,159.492,8.162,16.446,0.284,1,0
core.auth.module_09,291,276,15,12.048,14.178,15.099,8.395,0.662,17.626,159.009,16.827,21.984,0.328,1,1
utils.formatters.module_01,103,87,16,8.359,7.959,3.016,8.463,0.688,1.11,158.711,5.737,10.903,0.362,0,0
gateway.api.module_33,299,238,61,30.327,33.93,6.402,11.999,0.614,44.74,158.663,4.654,2.077,0.278,1,0
infra.cache.module_35,168,137,31,16.171,14.767,12.436,10.308,0.846,10.203,158.478,4.86,47.152,0.028,1,0
utils.formatters.module_18,104,93,11,26.441,31.448,4.902,11.987,0.393,18.317,156.247,4.254,8.464,0.373,1,0
workers.notifications.module_04,400,361,39,24.659,25.825,8.12,8.791,0.742,11.872,154.319,8.25,9.206,0.304,0,0
gateway.api.module_01,214,201,13,11.855,11.803,3.818,8.746,0.422,29.246,153.847,2.595,48.662,0.445,0,0
utils.formatters.module_36,247,196,51,8.72,8.284,4.878,14.66,0.697,9.285,153.773,15.071,40.588,0.143,1,0
workers.notifications.module_13,193,166,27,15.986,15.379,6.567,11.82,0.685,38.811,153.263,17.567,34.585,0.025,0,0
reports.export.module_20,178,164,14,4.122,4.769,10.475,13.978,0.676,11.597,152.854,10.344,17.85,0.26,0,0
core.payment.module_13,408,330,78,47.243,43.714,9.798,15.914,0.852,5.238,150.13,11.93,31.552,0.522,1,1
services.billing.module_31,139,127,12,4.817,5.613,8.19,7.125,0.359,40.827,149.646,17.346,46.769,0.223,0,0
infra.cache.module_09,147,128,19,9.777,11.476,11.877,12.241,0.663,13.044,149.629,4.644,32.719,0.408,1,1
services.billing.module_13,214,182,32,16.274,19.075,3.501,8.296,0.656,15.2,149.608,14.47,28.041,0.492,1,0
utils.formatters.module_11,155,140,15,5.88,5.465,8.93,7.08,0.469,17.256,148.964,10.744,7.143,0.504,0,0
services.billing.module_26,132,107,25,12.102,13.029,7.789,8.255,0.534,16.822,148.542,7.705,11.736,0.109,0,0
workers.notifications.module_19,229,216,13,14.132,15.446,6.213,13.78,0.576,20.54,147.255,6.911,11.698,0.159,0,0
reports.export.module_29,95,77,18,36.976,40.691,10.306,16.669,0.499,16.599,146.832,13.479,2.544,0.209,2,0
services.billing.module_36,221,176,45,15.533,14.353,15.038,5.851,0.755,37.713,145.814,4.472,59.159,0.116,0,0
workers.notifications.module_11,306,246,60,29.456,28.868,10.797,17.822,0.766,7.881,144.583,5.863,37.634,0.183,1,1
workers.notifications.module_02,152,124,28,10.442,10.456,10.351,12.641,0.676,5.169,143.959,4.364,43.049,0.302,1,0
utils.formatters.module_39,130,118,12,16.979,17.511,7.533,12.538,0.692,33.724,142.567,1.689,10.837,0.468,0,1
core.payment.module_30,225,178,47,15.617,16.961,12.154,9.385,0.699,15.844,141.828,20.394,61.233,0.189,1,1
infra.cache.module_01,267,223,44,21.825,25.801,5.919,20.156,0.616,10.946,139.368,8.793,52.519,0.361,1,0
ui.components.module_24,291,269,22,21.193,23.655,7.844,10.368,0.776,31.995,139.211,1.862,5.101,0.296,2,0
ui.components.module_05,180,154,26,7.028,7.296,3.979,16.555,0.532,11.566,137.888,5.613,13.473,0.293,0,0
ui.components.module_11,82,77,5,8.863,8.549,4.767,4.511,0.736,31.798,136.495,5.656,15.228,0.43,0,0
core.db.module_40,425,351,74,15.492,16.722,10.279,9.064,0.39,15.768,136.127,15.088,15.373,0.08,2,0
ui.components.module_26,173,146,27,18.68,20.839,5.051,7.656,0.668,0.877,134.529,4.783,25.937,0.204,0,0
workers.notifications.module_27,129,119,10,20.841,19.326,7.437,9.848,0.617,32.631,133.754,9.23,6.555,0.427,1,0
workers.notifications.module_34,107,96,11,10.643,10.755,6.983,19.497,0.679,16.37,132.98,6.122,21.99,0.577,2,0
ui.components.module_27,84,77,7,34.196,38.649,9.711,4.888,0.641,12.204,132.567,7.844,8.6,0.156,0,0
core.payment.module_35,274,233,41,8.51,8.33,6.728,16.29,0.775,26.092,130.809,9.665,34.001,0.582,2,0
ui.components.module_24,206,174,32,7.258,8.214,11.003,4.904,0.91,21.556,130.751,13.805,14.838,0.208,0,0
core.auth.module_20,228,192,36,30.251,32.881,8.906,5.725,0.722,5.641,130.651,3.033,10.424,0.114,0,0
infra.cache.module_25,178,142,36,5.849,5.769,5.455,10.215,0.458,7.485,127.324,9.208,37.727,0.287,1,0
reports.export.module_12,364,317,47,3.278,3.374,5.372,2.343,0.567,11.392,127.276,8.344,24.221,0.131,0,0
ui.components.module_26,143,132,11,27.632,31.261,10.348,8.685,0.607,9.025,126.926,11.682,11.716,0.175,0,0
utils.formatters.module_28,203,192,11,5.875,6.66,5.478,9.967,0.692,14.273,126.68,11.146,40.282,0.398,0,0
core.db.module_20,249,225,24,17.461,18.074,8.732,14.422,0.604,37.57,126.609,5.25,10.151,0.629,0,0
services.billing.module_21,385,330,55,46.619,53.773,6.68,17.23,0.527,25.3,126.283,6.376,25.414,0.284,1,0
core.auth.module_10,323,273,50,12.892,14.285,6.305,9.761,0.614,9.249,126.058,5.644,42.785,0.177,0,0
reports.export.module_12,120,114,6,12.413,12.955,5.774,7.09,0.774,44.028,125.962,4.106,6.802,0.296,0,1
workers.notifications.module_19,266,231,35,34.959,32.234,3.427,4.374,0.515,23.595,125.529,12.283,24.333,0.655,0,0
utils.formatters.module_15,145,121,24,13.91,16.024,6.505,2.969,0.756,6.172,125.422,5.746,12.036,0.133,0,0
gateway.api.module_34,232,184,48,38.93,35.146,8.99,5.366,0.608,22.889,123.933,10.689,10.661,0.085,0,0
ui.components.module_10,195,153,42,12.341,14.702,5.245,9.083,0.69,16.394,123.642,14.114,22.913,0.088,0,0
gateway.api.module_12,314,298,16,14.722,14.553,9.649,12.982,0.645,11.007,122.516,9.0,21.18,0.22,1,0
core.db.module_24,605,511,94,35.122,34.327,14.568,5.094,0.52,44.278,121.971,9.792,19.401,0.243,2,0
core.payment.module_35,208,184,24,27.311,26.055,4.905,10.094,0.638,26.111,121.827,11.422,30.211,0.327,1,0
utils.formatters.module_05,216,175,41,10.569,11.238,4.009,7.465,0.71,22.734,121.591,14.307,19.098,0.511,0,0
services.billing.module_05,195,164,31,28.643,27.233,6.103,16.642,0.645,34.345,120.816,9.372,48.241,0.352,1,0
core.payment.module_05,218,191,27,30.294,32.444,10.089,11.867,0.498,16.066,120.409,11.232,20.132,0.173,0,0
infra.cache.module_08,162,135,27,30.394,31.963,4.96,3.859,0.673,37.905,120.111,16.019,5.446,0.117,1,0
workers.notifications.module_29,288,246,42,7.601,7.826,10.782,8.272,0.603,9.222,119.878,14.633,24.325,0.219,1,0
infra.cache.module_33,241,210,31,8.595,8.182,10.694,11.74,0.841,11.023,119.181,13.289,30.033,0.499,1,0
infra.cache.module_21,213,182,31,39.644,43.646,5.67,13.318,0.413,19.881,118.503,12.274,13.031,0.347,0,0
workers.notifications.module_04,172,156,16,39.123,35.515,4.562,19.149,0.42,20.307,117.643,15.338,31.318,0.313,1,1
core.db.module_33,397,362,35,13.97,13.554,10.225,18.218,0.52,22.738,116.179,23.204,50.529,0.332,0,0
core.db.module_10,334,301,33,22.674,20.41,6.011,13.594,0.621,19.479,115.282,11.02,24.233,0.25,2,0
ui.components.module_32,278,229,49,11.242,13.367,13.818,5.085,0.608,16.784,114.877,12.12,29.499,0.361,0,0
gateway.api.module_05,340,277,63,11.018,10.236,6.952,10.631,0.681,17.972,113.304,13.949,58.128,0.22,0,0
infra.cache.module_06,91,78,13,18.121,19.415,15.003,19.779,0.605,8.93,112.569,20.184,10.605,0.142,0,1
ui.components.module_13,170,142,28,9.006,8.832,4.874,5.541,0.546,8.474,112.55,6.143,31.192,0.553,0,0
ui.components.module_20,107,92,15,26.599,31.589,4.09,14.091,0.722,12.835,112.056,11.054,12.803,0.349,1,0
services.billing.module_14,101,87,14,21.788,19.656,9.953,4.586,0.32,5.99,110.482,7.666,24.1,0.255,0,0
reports.export.module_30,146,135,11,6.662,7.006,6.436,4.822,0.493,20.667,110.231,5.614,16.0,0.151,0,0
services.billing.module_13,217,181,36,9.3,11.149,7.441,6.349,0.786,30.52,109.465,17.009,3.958,0.624,0,1
services.billing.module_24,229,188,41,14.645,15.666,5.853,3.404,0.635,13.029,107.941,2.222,39.094,0.429,0,0
core.payment.module_40,194,178,16,7.215,8.085,3.451,4.547,0.561,15.331,106.99,22.837,27.71,0.265,0,0
reports.export.module_34,92,82,10,19.879,18.052,8.748,9.77,0.363,8.698,106.987,7.866,12.248,0.397,1,1
infra.cache.module_31,122,105,17,17.312,18.969,4.519,13.982,0.513,23.179,106.974,3.18,33.49,0.529,1,0
infra.cache.module_03,100,85,15,18.469,20.69,11.233,6.523,0.631,6.492,106.393,3.78,12.508,0.142,0,0
core.payment.module_15,174,159,15,47.12,53.555,11.37,10.963,0.428,35.849,106.161,15.488,20.266,0.502,1,0
core.auth.module_03,273,258,15,40.258,46.363,7.672,21.326,0.431,21.475,105.896,12.523,36.693,0.214,0,0
gateway.api.module_16,342,289,53,24.743,29.2,6.895,13.648,0.781,22.198,104.904,17.797,7.828,0.184,0,1
